               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12424,            0.010898,            0.079921,           0.0016479,             0.19264,           0.0027508,          0.00054002,             0.12033,           0.0075938,            0.077104,              0.0973,              0.0003,              0.0003
                   1,             0.12013,           0.0097813,            0.079796,           0.0022197,             0.31385,           0.0053852,           0.0011654,             0.11604,           0.0078847,            0.074644,            0.093699,          0.00069861,          0.00069861
                   2,             0.11788,            0.011637,             0.07755,            0.004105,             0.48701,            0.026181,           0.0094357,             0.10955,           0.0084295,            0.071907,            0.090096,           0.0010956,           0.0010956
                   3,             0.10766,            0.013042,            0.071093,           0.0026936,             0.33766,            0.036609,            0.011212,              0.1035,           0.0090431,            0.067642,            0.086491,           0.0014911,           0.0014911
                   4,             0.10392,             0.01318,            0.067276,           0.0027891,             0.37879,            0.065784,            0.020702,             0.09899,           0.0093717,            0.064564,            0.082885,            0.001885,            0.001885
                   5,            0.098661,             0.01386,            0.062858,           0.0040292,              0.7041,             0.13131,            0.027178,            0.097979,           0.0097087,            0.058192,            0.079277,           0.0022772,           0.0022772
                   6,            0.097963,            0.014167,            0.058106,            0.098904,             0.48485,             0.19863,            0.073328,            0.091476,             0.01037,            0.052622,            0.075668,           0.0026679,           0.0026679
                   7,            0.092195,            0.015967,            0.053711,           0.0043726,             0.78253,            0.077363,            0.021508,            0.091457,            0.010207,             0.04817,            0.072057,            0.003057,            0.003057
                   8,            0.088844,            0.017237,            0.047429,             0.53614,             0.31602,             0.35752,             0.14011,            0.082748,            0.010658,            0.043847,            0.068445,           0.0034446,           0.0034446
                   9,            0.079741,            0.016232,            0.042489,              0.1062,             0.22078,             0.17578,            0.074447,             0.08108,            0.010498,            0.039594,            0.064831,           0.0038305,           0.0038305
                  10,            0.078146,            0.017628,            0.035523,             0.61033,              0.1959,             0.22071,            0.056802,            0.077741,             0.01037,            0.036558,            0.061215,           0.0042149,           0.0042149
                  11,            0.079651,             0.01378,            0.034053,            0.070636,             0.33766,            0.097808,            0.027802,            0.075613,            0.010328,            0.032843,            0.057598,           0.0045976,           0.0045976
                  12,            0.076233,            0.014953,            0.028916,             0.48295,             0.36312,             0.21118,            0.061408,            0.081144,           0.0097939,            0.029919,            0.053979,           0.0049788,           0.0049788
                  13,             0.07368,             0.01939,            0.026756,             0.46165,             0.26407,             0.16864,            0.039222,            0.077052,           0.0099382,            0.028382,            0.050358,           0.0053584,           0.0053584
                  14,            0.074723,            0.016708,             0.02502,             0.53108,             0.33333,             0.27189,             0.11971,            0.077894,           0.0097432,            0.025883,            0.046736,           0.0057365,           0.0057365
